task_id,novel_type,novel_idea,write_style,target_reader,special_requirements,roll_num,chapter_num,word_num,status,outline_done,gen_start_time,gen_end_time
1,全民转职,世界规则颠覆，全民转职时代降临。主角觉醒唯一隐藏职业“亡灵法师”，但技能树却全点歪了。别人的骷髅兵是炮灰，他的骷髅兵会做饭、会按摩、会写代码、甚至能组成交响乐团加BUFF。当深渊魔神降临时，看着主角身后穿着西装、戴着墨镜、扛着加特林的骷髅黑帮天团，陷入了沉思。,"轻松幽默,脑洞大开",年轻男性,重点描写骷髅兵的拟人化行为，主角要有一种'我也很无奈啊'的凡尔赛感，战斗场面要充满反差萌,5,10,3000,1,1,2026-01-30 18:50:14,
2,反派重生,主角穿越成一本龙傲天小说里的富二代反派，知道自己三天后会被原主角打断腿。系统觉醒，功能却是“只要被原主角打脸就能变强”。于是主角开始疯狂在原主角雷区蹦迪，花式求打。结果因为操作太骚，反而被原书女主们误以为是“用心良苦”，原主角的心态彻底崩了。,"腹黑反讽,爽文",男性读者,反派要有高智商，不要无脑嚣张，要表现出那种'优雅的求虐'，女主们的自我攻略心理活动要足,5,10,3000,0,0,,
3,赛博修仙,故事发生在2077年的霓虹都市，但力量体系是修仙。筑基需要植入“聚灵芯片”，金丹是“核聚变反应堆”，元婴是“意识上传云端”。主角是一个回收旧义体的穷小子，意外捡到了上古（21世纪）的机械硬盘，里面竟然存着最原始的《道德经》代码。当别人在比拼义体功率时，主角直接用C语言画符，一键格式化敌人的元婴。,"冷峻硬核,赛博朋克",科幻与修仙爱好者,多用赛博朋克术语包装修仙概念（如：义体飞升、数据夺舍、防火墙结界），打斗要有科技感,5,10,3000,0,0,,
4,苟道长生,主角穿越修仙界，获得“寿元无尽”天赋，但资质极差。他决定只要有危险绝对不出门。仇人来了？我熬死你；宗门灭了？我换个地方埋头种田。三千年后，当年无敌的仙帝成了黄土，主角出来给他们上坟，顺便一指头戳死了仙帝的后人。,"平淡中见装逼,沧桑感",老书虫,前期要极度稳健，强调时间的流逝，用配角的生老病死衬托主角的不朽，爽点在于'我还在，你没了',5,10,3000,0,0,,
5,规则怪谈,主角进入了充满必死规则的恐怖副本（如“妈妈的纸条”、“深夜便利店”）。所有人都在瑟瑟发抖，主角却发现自己能看到隐藏提示（外挂）。当女鬼要求主角回头时，主角反手给了女鬼一个大逼兜，因为提示说“女鬼是抖M，打她能增加好感度”。于是，恐怖片变成了主角的恋爱养成游戏。,"惊悚+搞笑,恋爱养成",悬疑爱好者,环境描写要恐怖阴森，但主角的心理活动要极其跳脱，形成强烈反差,5,10,3000,0,0,,
6,迪化流,主角是个没有任何修为的凡人，开了一家小书店。但他养的鸡是凤凰，池塘里的鱼是真龙，随手写的字蕴含大道法则。各路大佬进店后被吓得跪地磕头，主角却以为他们是来讨债的或者是精神病。大佬：“前辈的眼神充满了对苍生的怜悯！”主角：“这帮人怎么还不买书滚蛋？”,"轻松日常,群像",全年龄,侧重描写配角的心理补脑过程，越离谱越好，主角要保持懵逼状态,5,10,3000,0,0,,
7,直播鉴宝,主角获得“万物鉴赏之眼”，能看到物品的过去未来和真假。在直播间连线鉴宝。宝友掏出一把剑，主角：“兄弟，这剑是上周周朝的（上周仿制的），但剑上的血迹是昨天你杀猪留下的，建议自首。”宝友掏出一个传家宝，主角：“这玩意儿是你太爷爷当年的定情信物...给隔壁王寡妇的。”,"快节奏,玩梗",都市读者,多写直播间弹幕互动，要有“网络热梗”和“造梗”能力，揭露人性,5,10,3000,0,0,,
8,系统上交,主角获得了一个“黑科技系统”，但他没有选择自己当龙傲天，而是直接报警：“喂，妖妖灵吗？我有个系统要上交国家。”于是，国家机器运转起来。别人修仙是一人一剑，主角修仙是国家成立“修仙特战旅”，用导弹洗地，用超级计算机推演功法。,"宏大叙事,热血",爱国青年,突出国家力量的强大，少写个人恩怨，多写文明碾压的集体主义爽感,5,10,3000,0,0,,
9,西幻领主,主角穿越成异界的一只史莱姆，获得“暴食进化”系统。从最底层的魔物开始，吞噬勇者的装备、吞噬巨龙的血肉，最终进化成不可名状的古神。建立魔物帝国，反攻人类世界，抓捕公主...用来教魔物读书识字。,"黑暗童话,种田",二次元,主角要有非人思维，不要太圣母，该吃就吃，强调种田建设和进化的快感,5,10,3000,0,0,,
10,文娱反穿,历史上的李白、杜甫、苏轼集体穿越到了现代。主角是他们的“经纪人”。李白喝着二锅头写出了惊动文坛的现代诗；苏轼成了美食博主，教大家做红烧肉；辛弃疾看到中国地图痛哭流涕。主角带着这群“老祖宗”整顿内娱，吊打流量明星。,"温馨,爽文,古今碰撞",历史文化爱好者,诗词歌赋的引用要恰当，要有家国情怀的升华，古人在现代的生活笑点要足,5,10,3000,0,0,,
